rep,n,d,N,type,method,metric,value
0,50,2,100,linear,NPT-FR,Marginal,6.326678164048541
0,50,2,100,linear,NPT-FR,Correlation,0.005127916212111434
0,50,2,100,linear,Marginal-FR,Marginal,6.326678164048541
0,50,2,100,linear,Marginal-FR,Correlation,0.02026973425396804
0,50,2,100,linear,Gaussian-FR,Marginal,7.807653762701911
0,50,2,100,linear,Gaussian-FR,Correlation,0.0056215318658712835
1,50,2,100,linear,NPT-FR,Marginal,5.856594976911753
1,50,2,100,linear,NPT-FR,Correlation,0.005513914192372469
1,50,2,100,linear,Marginal-FR,Marginal,5.856594976911753
1,50,2,100,linear,Marginal-FR,Correlation,0.020781221483262096
1,50,2,100,linear,Gaussian-FR,Marginal,6.910533553758443
1,50,2,100,linear,Gaussian-FR,Correlation,0.005637132267074223
2,50,2,100,linear,NPT-FR,Marginal,6.22566887424151
2,50,2,100,linear,NPT-FR,Correlation,0.0044551751401287944
2,50,2,100,linear,Marginal-FR,Marginal,6.22566887424151
2,50,2,100,linear,Marginal-FR,Correlation,0.020527923189597893
2,50,2,100,linear,Gaussian-FR,Marginal,7.601553975203989
2,50,2,100,linear,Gaussian-FR,Correlation,0.004906750342448921
3,50,2,100,linear,NPT-FR,Marginal,5.4160898989192265
3,50,2,100,linear,NPT-FR,Correlation,0.005994763706098993
3,50,2,100,linear,Marginal-FR,Marginal,5.4160898989192265
3,50,2,100,linear,Marginal-FR,Correlation,0.020615777515946496
3,50,2,100,linear,Gaussian-FR,Marginal,6.868341305588752
3,50,2,100,linear,Gaussian-FR,Correlation,0.0059486005882360814
4,50,2,100,linear,NPT-FR,Marginal,5.933753225775767
4,50,2,100,linear,NPT-FR,Correlation,0.005109115585522034
4,50,2,100,linear,Marginal-FR,Marginal,5.933753225775767
4,50,2,100,linear,Marginal-FR,Correlation,0.021349011025939457
4,50,2,100,linear,Gaussian-FR,Marginal,7.160524917188125
4,50,2,100,linear,Gaussian-FR,Correlation,0.005340949712370191
5,50,2,100,linear,NPT-FR,Marginal,4.928681851253361
5,50,2,100,linear,NPT-FR,Correlation,0.005859391632273465
5,50,2,100,linear,Marginal-FR,Marginal,4.928681851253361
