rep,n,d,N,type,method,metric,value
0,50,2,100,linear,NPT-FR,Wasserstein,13.697519216724734
0,50,2,100,linear,Marginal-FR,Wasserstein,13.925179804375878
0,50,2,100,linear,Gaussian-FR,Wasserstein,17.246698213032644
1,50,2,100,linear,NPT-FR,Wasserstein,12.648905519712562
1,50,2,100,linear,Marginal-FR,Wasserstein,12.879243271685953
1,50,2,100,linear,Gaussian-FR,Wasserstein,15.283605218573411
2,50,2,100,linear,NPT-FR,Wasserstein,13.574850308220556
2,50,2,100,linear,Marginal-FR,Wasserstein,13.74320002961688
2,50,2,100,linear,Gaussian-FR,Wasserstein,16.87923705485173
3,50,2,100,linear,NPT-FR,Wasserstein,11.809568452914114
3,50,2,100,linear,Marginal-FR,Wasserstein,12.058058041779196
3,50,2,100,linear,Gaussian-FR,Wasserstein,15.241820651345181
4,50,2,100,linear,NPT-FR,Wasserstein,12.90641919877087
4,50,2,100,linear,Marginal-FR,Wasserstein,13.096296119529176
4,50,2,100,linear,Gaussian-FR,Wasserstein,15.925351610645802
5,50,2,100,linear,NPT-FR,Wasserstein,10.777611532807745
5,50,2,100,linear,Marginal-FR,Wasserstein,10.922318412103808
5,50,2,100,linear,Gaussian-FR,Wasserstein,13.891956528173163
6,50,2,100,linear,NPT-FR,Wasserstein,11.75092977595126
6,50,2,100,linear,Marginal-FR,Wasserstein,12.028443081374757
6,50,2,100,linear,Gaussian-FR,Wasserstein,14.75432194834363
7,50,2,100,linear,NPT-FR,Wasserstein,13.648091835386182
7,50,2,100,linear,Marginal-FR,Wasserstein,13.90689137928997
7,50,2,100,linear,Gaussian-FR,Wasserstein,17.019090460601515
8,50,2,100,linear,NPT-FR,Wasserstein,13.192456024239544
8,50,2,100,linear,Marginal-FR,Wasserstein,13.33400122880271
8,50,2,100,linear,Gaussian-FR,Wasserstein,16.977178172491424
9,50,2,100,linear,NPT-FR,Wasserstein,12.608377003675876
9,50,2,100,linear,Marginal-FR,Wasserstein,12.854391077081623
9,50,2,100,linear,Gaussian-FR,Wasserstein,15.708524840127076
10,50,2,100,linear,NPT-FR,Wasserstein,13.99290913936821
10,50,2,100,linear,Marginal-FR,Wasserstein,14.156114004793224
10,50,2,100,linear,Gaussian-FR,Wasserstein,16.9466468596853
11,50,2,100,linear,NPT-FR,Wasserstein,14.20454439634657
11,50,2,100,linear,Marginal-FR,Wasserstein,14.385700638255027
11,50,2,100,linear,Gaussian-FR,Wasserstein,17.473104511335666
12,50,2,100,linear,NPT-FR,Wasserstein,12.603387513107451
12,50,2,100,linear,Marginal-FR,Wasserstein,12.813866654902773
12,50,2,100,linear,Gaussian-FR,Wasserstein,15.669713196373069
13,50,2,100,linear,NPT-FR,Wasserstein,12.964124479555466
13,50,2,100,linear,Marginal-FR,Wasserstein,13.18971039346337
13,50,2,100,linear,Gaussian-FR,Wasserstein,15.959499389821005
14,50,2,100,linear,NPT-FR,Wasserstein,13.622605916469096
14,50,2,100,linear,Marginal-FR,Wasserstein,13.876984389360874
14,50,2,100,linear,Gaussian-FR,Wasserstein,17.03928079842693
15,50,2,100,linear,NPT-FR,Wasserstein,13.083837051275102
15,50,2,100,linear,Marginal-FR,Wasserstein,13.34250879761773
15,50,2,100,linear,Gaussian-FR,Wasserstein,15.954107275195932
16,50,2,100,linear,NPT-FR,Wasserstein,13.885284541539567
16,50,2,100,linear,Marginal-FR,Wasserstein,14.065367443302451
16,50,2,100,linear,Gaussian-FR,Wasserstein,16.821277593983627
17,50,2,100,linear,NPT-FR,Wasserstein,14.275506202322319
17,50,2,100,linear,Marginal-FR,Wasserstein,14.526839311029326
17,50,2,100,linear,Gaussian-FR,Wasserstein,17.969352038025217
18,50,2,100,linear,NPT-FR,Wasserstein,12.422840941389941
18,50,2,100,linear,Marginal-FR,Wasserstein,12.724301616004952
18,50,2,100,linear,Gaussian-FR,Wasserstein,16.127076763133626
19,50,2,100,linear,NPT-FR,Wasserstein,13.452668593443631
19,50,2,100,linear,Marginal-FR,Wasserstein,13.683673208149154
19,50,2,100,linear,Gaussian-FR,Wasserstein,16.70456210332945
20,50,2,100,linear,NPT-FR,Wasserstein,12.798356914640172
20,50,2,100,linear,Marginal-FR,Wasserstein,13.046320316485446
20,50,2,100,linear,Gaussian-FR,Wasserstein,16.034565228683093
21,50,2,100,linear,NPT-FR,Wasserstein,12.721282145645471
21,50,2,100,linear,Marginal-FR,Wasserstein,12.879472156241444
21,50,2,100,linear,Gaussian-FR,Wasserstein,16.051163492469108
22,50,2,100,linear,NPT-FR,Wasserstein,13.939761178445062
22,50,2,100,linear,Marginal-FR,Wasserstein,14.132311106923273
22,50,2,100,linear,Gaussian-FR,Wasserstein,17.099394338631654
23,50,2,100,linear,NPT-FR,Wasserstein,15.003203545838312
23,50,2,100,linear,Marginal-FR,Wasserstein,15.245109324114248
23,50,2,100,linear,Gaussian-FR,Wasserstein,18.866593581118906
24,50,2,100,linear,NPT-FR,Wasserstein,12.72657854618799
24,50,2,100,linear,Marginal-FR,Wasserstein,12.850410577736156
24,50,2,100,linear,Gaussian-FR,Wasserstein,16.021461024337192
25,50,2,100,linear,NPT-FR,Wasserstein,13.471284766167889
25,50,2,100,linear,Marginal-FR,Wasserstein,13.661832642410861
25,50,2,100,linear,Gaussian-FR,Wasserstein,16.664268926686184
26,50,2,100,linear,NPT-FR,Wasserstein,12.56281684617642
26,50,2,100,linear,Marginal-FR,Wasserstein,12.788189235548026
26,50,2,100,linear,Gaussian-FR,Wasserstein,15.868756274300926
27,50,2,100,linear,NPT-FR,Wasserstein,12.742763148243768
27,50,2,100,linear,Marginal-FR,Wasserstein,12.91830766495043
27,50,2,100,linear,Gaussian-FR,Wasserstein,15.906999453569817
28,50,2,100,linear,NPT-FR,Wasserstein,13.551606014879095
28,50,2,100,linear,Marginal-FR,Wasserstein,13.701417523698282
28,50,2,100,linear,Gaussian-FR,Wasserstein,16.673935816700226
29,50,2,100,linear,NPT-FR,Wasserstein,12.474177109150478
29,50,2,100,linear,Marginal-FR,Wasserstein,12.712677795436438
29,50,2,100,linear,Gaussian-FR,Wasserstein,15.762854506008669
30,50,2,100,linear,NPT-FR,Wasserstein,13.632073740144802
30,50,2,100,linear,Marginal-FR,Wasserstein,13.842616712004139
30,50,2,100,linear,Gaussian-FR,Wasserstein,17.122889197924657
31,50,2,100,linear,NPT-FR,Wasserstein,12.64894210964376
31,50,2,100,linear,Marginal-FR,Wasserstein,12.835228915020066
31,50,2,100,linear,Gaussian-FR,Wasserstein,16.378709932036596
32,50,2,100,linear,NPT-FR,Wasserstein,12.904959827438871
32,50,2,100,linear,Marginal-FR,Wasserstein,13.146597928230445
32,50,2,100,linear,Gaussian-FR,Wasserstein,16.057793217886463
33,50,2,100,linear,NPT-FR,Wasserstein,12.838495700852535
33,50,2,100,linear,Marginal-FR,Wasserstein,13.029207246334096
33,50,2,100,linear,Gaussian-FR,Wasserstein,16.340389894850748
34,50,2,100,linear,NPT-FR,Wasserstein,11.832547299736616
34,50,2,100,linear,Marginal-FR,Wasserstein,12.038421651009724
34,50,2,100,linear,Gaussian-FR,Wasserstein,15.12268443769191
35,50,2,100,linear,NPT-FR,Wasserstein,12.78975620390261
35,50,2,100,linear,Marginal-FR,Wasserstein,13.03991487767238
35,50,2,100,linear,Gaussian-FR,Wasserstein,16.462607793400142
36,50,2,100,linear,NPT-FR,Wasserstein,12.979964973692487
36,50,2,100,linear,Marginal-FR,Wasserstein,13.146869115013203
36,50,2,100,linear,Gaussian-FR,Wasserstein,16.660844365048042
37,50,2,100,linear,NPT-FR,Wasserstein,12.642066800957473
37,50,2,100,linear,Marginal-FR,Wasserstein,12.856072576615713
37,50,2,100,linear,Gaussian-FR,Wasserstein,15.805724927237502
38,50,2,100,linear,NPT-FR,Wasserstein,12.753476618437317
38,50,2,100,linear,Marginal-FR,Wasserstein,12.874710713652942
38,50,2,100,linear,Gaussian-FR,Wasserstein,15.899230631134321
39,50,2,100,linear,NPT-FR,Wasserstein,13.316911770563525
39,50,2,100,linear,Marginal-FR,Wasserstein,13.683285479667653
39,50,2,100,linear,Gaussian-FR,Wasserstein,16.99321675021606
40,50,2,100,linear,NPT-FR,Wasserstein,12.977639691389761
40,50,2,100,linear,Marginal-FR,Wasserstein,13.226879898855824
40,50,2,100,linear,Gaussian-FR,Wasserstein,16.304443206447253
41,50,2,100,linear,NPT-FR,Wasserstein,13.863313778644807
41,50,2,100,linear,Marginal-FR,Wasserstein,14.027578814157263
41,50,2,100,linear,Gaussian-FR,Wasserstein,17.200780883643233
42,50,2,100,linear,NPT-FR,Wasserstein,14.087926537310357
42,50,2,100,linear,Marginal-FR,Wasserstein,14.27031209141703
42,50,2,100,linear,Gaussian-FR,Wasserstein,17.40162155574077
43,50,2,100,linear,NPT-FR,Wasserstein,12.065648175274049
43,50,2,100,linear,Marginal-FR,Wasserstein,12.23704672959907
43,50,2,100,linear,Gaussian-FR,Wasserstein,15.573252191492497
44,50,2,100,linear,NPT-FR,Wasserstein,12.905662260526881
44,50,2,100,linear,Marginal-FR,Wasserstein,13.135647493454979
44,50,2,100,linear,Gaussian-FR,Wasserstein,15.75374369874188
45,50,2,100,linear,NPT-FR,Wasserstein,14.615906462568349
45,50,2,100,linear,Marginal-FR,Wasserstein,14.70283846935538
45,50,2,100,linear,Gaussian-FR,Wasserstein,17.982897369669114
46,50,2,100,linear,NPT-FR,Wasserstein,13.636624788433007
46,50,2,100,linear,Marginal-FR,Wasserstein,13.815121702066516
46,50,2,100,linear,Gaussian-FR,Wasserstein,16.844348574042925
47,50,2,100,linear,NPT-FR,Wasserstein,13.966826569646685
47,50,2,100,linear,Marginal-FR,Wasserstein,14.219982600887226
47,50,2,100,linear,Gaussian-FR,Wasserstein,17.184270613376047
48,50,2,100,linear,NPT-FR,Wasserstein,12.819232246402906
48,50,2,100,linear,Marginal-FR,Wasserstein,13.044804802530695
48,50,2,100,linear,Gaussian-FR,Wasserstein,15.542291663671325
49,50,2,100,linear,NPT-FR,Wasserstein,13.687083714367787
49,50,2,100,linear,Marginal-FR,Wasserstein,13.92382997302326
49,50,2,100,linear,Gaussian-FR,Wasserstein,17.25684887659973
50,50,2,100,linear,NPT-FR,Wasserstein,12.445235397490217
50,50,2,100,linear,Marginal-FR,Wasserstein,12.654963490407045
50,50,2,100,linear,Gaussian-FR,Wasserstein,15.24390870173079
51,50,2,100,linear,NPT-FR,Wasserstein,12.226193590636353
51,50,2,100,linear,Marginal-FR,Wasserstein,12.407817334060493
51,50,2,100,linear,Gaussian-FR,Wasserstein,15.47853042175464
52,50,2,100,linear,NPT-FR,Wasserstein,11.930588518386033
52,50,2,100,linear,Marginal-FR,Wasserstein,12.120643187126495
52,50,2,100,linear,Gaussian-FR,Wasserstein,15.09716689319417
53,50,2,100,linear,NPT-FR,Wasserstein,13.543653224287317
53,50,2,100,linear,Marginal-FR,Wasserstein,13.806406662269048
53,50,2,100,linear,Gaussian-FR,Wasserstein,17.3553344229122
54,50,2,100,linear,NPT-FR,Wasserstein,14.126416073276975
54,50,2,100,linear,Marginal-FR,Wasserstein,14.239278321242717
54,50,2,100,linear,Gaussian-FR,Wasserstein,17.837264928393573
55,50,2,100,linear,NPT-FR,Wasserstein,11.934709267988453
55,50,2,100,linear,Marginal-FR,Wasserstein,12.27656257838148
55,50,2,100,linear,Gaussian-FR,Wasserstein,14.838707365640701
56,50,2,100,linear,NPT-FR,Wasserstein,12.741393909518324
56,50,2,100,linear,Marginal-FR,Wasserstein,12.946848740849443
56,50,2,100,linear,Gaussian-FR,Wasserstein,15.905157489744772
57,50,2,100,linear,NPT-FR,Wasserstein,12.477810745835974
57,50,2,100,linear,Marginal-FR,Wasserstein,12.700258083736424
57,50,2,100,linear,Gaussian-FR,Wasserstein,15.90661577588111
58,50,2,100,linear,NPT-FR,Wasserstein,13.19031675078514
58,50,2,100,linear,Marginal-FR,Wasserstein,13.404048975027617
58,50,2,100,linear,Gaussian-FR,Wasserstein,16.61983597723358
59,50,2,100,linear,NPT-FR,Wasserstein,13.525082019589055
59,50,2,100,linear,Marginal-FR,Wasserstein,13.757338593307013
